arm,stage,global_step,local_step,loss,lr
quarter,1,13150,13150,0.9889844,0.0001
quarter,1,13200,13200,0.9886021,0.0001
quarter,1,13250,13250,0.9889199,0.0001
quarter,1,13300,13300,0.9888958,0.0001
quarter,1,13350,13350,0.9889183,0.0001
quarter,1,13400,13400,0.9884048,0.0001
quarter,1,13450,13450,0.9888639,0.0001
quarter,1,13500,13500,0.9889963,0.0001
quarter,1,13550,13550,0.9885301,0.0001
quarter,1,13600,13600,0.9892263,0.0001
quarter,1,13650,13650,0.9887797,0.0001
quarter,1,13700,13700,0.9886206,0.0001
quarter,1,13750,13750,0.9889222,0.0001
quarter,1,13800,13800,0.9884778,0.0001
quarter,1,13850,13850,0.9890284,0.0001
quarter,1,13900,13900,0.9885399,0.0001
quarter,1,13950,13950,0.9886064,0.0001
quarter,1,14000,14000,0.9886823,0.0001
quarter,1,14050,14050,0.9888298,0.0001
quarter,1,14100,14100,0.9890881,0.0001
quarter,1,14150,14150,0.9887448,0.0001
quarter,1,14200,14200,0.9886892,0.0001
quarter,1,14250,14250,0.9886449,0.0001
quarter,1,14300,14300,0.9882694,0.0001
quarter,1,14350,14350,0.9886979,0.0001
quarter,1,14400,14400,0.9886064,0.0001
quarter,1,14450,14450,0.9885887,0.0001
quarter,1,14500,14500,0.9885256,0.0001
quarter,1,14550,14550,0.9889001,0.0001
quarter,1,14600,14600,0.9883494,0.0001
quarter,1,14650,14650,0.9889751,0.0001
quarter,1,14700,14700,0.9887517,0.0001
quarter,1,14750,14750,0.9888039,0.0001
quarter,1,14800,14800,0.9885476,0.0001
quarter,1,14850,14850,0.9885192,0.0001
quarter,1,14900,14900,0.9887249,0.0001
quarter,1,14950,14950,0.9886388,0.0001
quarter,1,15000,15000,0.9887292,0.0001
quarter,1,15050,15050,0.9887239,0.0001
quarter,1,15100,15100,0.9886653,0.0001
quarter,1,15150,15150,0.9886626,0.0001
quarter,1,15200,15200,0.9886129,0.0001
quarter,1,15250,15250,0.9885772,0.0001
quarter,1,15300,15300,0.988465,0.0001
quarter,1,15350,15350,0.9886394,0.0001
quarter,1,15400,15400,0.9887045,0.0001
quarter,1,15450,15450,0.9889532,0.0001
quarter,1,15500,15500,0.9888355,0.0001
quarter,1,15550,15550,0.9886505,0.0001
quarter,1,15600,15600,0.9886393,0.0001
quarter,1,15650,15650,0.9885377,0.0001
quarter,1,15700,15700,0.9888707,0.0001
quarter,1,15750,15750,0.9886531,0.0001
quarter,1,15800,15800,0.9887323,0.0001
quarter,1,15850,15850,0.9887072,0.0001
quarter,1,15900,15900,0.9884701,0.0001
quarter,1,15950,15950,0.9885706,0.0001
quarter,1,16000,16000,0.9889812,0.0001
quarter,1,16050,16050,0.9887918,0.0001
quarter,1,16100,16100,0.9887194,0.0001
quarter,1,16150,16150,0.9881749,0.0001
quarter,1,16200,16200,0.9885868,0.0001
quarter,1,16250,16250,0.9886521,0.0001
quarter,1,16300,16300,0.9885254,0.0001
quarter,1,16350,16350,0.9886473,0.0001
quarter,1,16400,16400,0.9885082,0.0001
quarter,1,16450,16450,0.9888287,0.0001
quarter,1,16500,16500,0.9888464,0.0001
quarter,1,16550,16550,0.9885147,0.0001
quarter,1,16600,16600,0.9884922,0.0001
quarter,1,16650,16650,0.9887478,0.0001
quarter,1,16700,16700,0.9885488,0.0001
quarter,1,16750,16750,0.9885094,0.0001
quarter,1,16800,16800,0.9886639,0.0001
quarter,1,16850,16850,0.9885772,0.0001
quarter,1,16900,16900,0.9884819,0.0001
quarter,1,16950,16950,0.9884875,0.0001
quarter,1,17000,17000,0.988811,0.0001
quarter,1,17050,17050,0.9885009,0.0001
quarter,1,17100,17100,0.9889609,0.0001
quarter,1,17150,17150,0.9888356,0.0001
quarter,1,17200,17200,0.9887769,0.0001
quarter,1,17250,17250,0.9885501,0.0001
quarter,1,17300,17300,0.9884389,0.0001
quarter,1,17350,17350,0.9887671,0.0001
quarter,1,17400,17400,0.9887449,0.0001
quarter,1,17450,17450,0.988495,0.0001
quarter,1,17500,17500,0.9884734,0.0001
quarter,1,17550,17550,0.9886085,0.0001
quarter,1,17600,17600,0.9886584,0.0001
quarter,1,17650,17650,0.9885803,0.0001
quarter,1,17700,17700,0.9887955,0.0001
quarter,1,17750,17750,0.9886215,0.0001
quarter,1,17800,17800,0.9885718,0.0001
quarter,1,17850,17850,0.9886668,0.0001
quarter,1,17900,17900,0.9885042,0.0001
quarter,1,17950,17950,0.9888897,0.0001
quarter,1,18000,18000,0.9886587,0.0001
quarter,1,18050,18050,0.9886643,0.0001
quarter,1,18100,18100,0.9886457,0.0001
quarter,1,18150,18150,0.9884565,0.0001
quarter,1,18200,18200,0.9886143,0.0001
quarter,1,18250,18250,0.9886143,0.0001
quarter,1,18300,18300,0.9886615,0.0001
quarter,1,18350,18350,0.9881911,0.0001
quarter,1,18400,18400,0.9887021,0.0001
quarter,1,18450,18450,0.9884865,0.0001
quarter,1,18500,18500,0.9883176,0.0001
quarter,1,18550,18550,0.9885097,0.0001
quarter,1,18600,18600,0.9885306,0.0001
quarter,1,18650,18650,0.9886803,0.0001
quarter,1,18700,18700,0.9887066,0.0001
quarter,1,18750,18750,0.9883968,0.0001
